Num,Plaats,Datum,Time hh:mm:ss,Magnitude,Diepte_km,Easting,Northing,Province
1,Middelstum,05/12/1991,00:24:55,2.4,3,239542,597592,Groningen
2,Ten Boer,06/12/1992,20:34:32,1.3,3,245147,593464,Groningen
3,Slochteren,11/12/1992,13:00:50,1.4,3,245845,581232,Groningen
4,Noordbroek,12/02/1993,11:46:00,1,3,253736,590738,Groningen
5,Hoogezand,12/03/1993,22:12:41,0.9,3,249829,575743,Groningen
6,Overschild,26/03/1993,18:34:21,1.1,3,248888,589639,Groningen
7,Haren,05/05/1993,20:08:32,1.5,3,241769,577483,Groningen
8,Ten Post,14/05/1993,19:39:42,1.1,3,248711,591862,Groningen
9,Bedum,27/06/1993,02:08:51,1.4,3,239158,592910,Groningen
10,Stedum,27/06/1993,02:57:10,1,3,239826,592810,Groningen
11,Appingedam,10/07/1993,00:22:34,1.4,3,251581,595036,Groningen
12,Loppersum,27/07/1993,13:39:18,0.8,3,249643,595331,Groningen
13,Nijenklooster,23/08/1993,00:51:21,0.7,3,252316,594940,Groningen
14,Oldenzijl,04/09/1993,02:24:50,1.4,3,246721,598280,Groningen
15,Middelstum,22/09/1993,17:37:03,2,3,240720,598726,Groningen
16,Slochteren,25/09/1993,00:21:33,0.9,3,250191,581093,Groningen
17,Slochteren,23/11/1993,12:31:47,2.2,3,250739,580436,Groningen
18,Ten Post,22/12/1993,02:04:42,1.6,3,246068,590587,Groningen
19,Winneweer,04/02/1994,21:32:38,1.3,3,247643,591953,Groningen
20,Garsthuizen,28/02/1994,21:00:16,0.6,3,243712,599003,Groningen
21,Steendam,02/03/1994,10:36:38,1.5,3,249702,588987,Groningen
22,Eenrum,06/03/1994,20:02:31,1,3,249472,593881,Groningen
23,t-Zandt',14/03/1994,09:31:01,1.3,3,249623,596333,Groningen
24,Zandeweer,14/03/1994,10:44:00,1.6,3,241009,601180,Groningen
25,Westerbroek,14/03/1994,22:32:09,1.1,3,245929,576781,Groningen
26,Delfzijl,24/03/1994,05:29:03,0.8,3,259949,593319,Groningen
27,Steendam,04/04/1994,18:46:11,1.3,3,251111,588570,Groningen
28,Kolham,07/05/1994,20:08:53,1,3,249287,579517,Groningen
29,Hellum,10/05/1994,01:34:11,0.8,3,251688,583127,Groningen
30,Weiwerd,05/06/1994,02:14:50,1,3,259203,590854,Groningen
31,Achterdiep,06/06/1994,04:08:26,1,3,251042,575322,Groningen
32,Garsthuizen,08/06/1994,22:20:24,1.5,3,241204,597733,Groningen
33,De Klip,26/06/1994,17:44:38,1,3,252576,595279,Groningen
34,Uithuizermeeden,27/06/1994,20:58:53,1.7,3,246926,604964,Groningen
35,Stedum,01/07/1994,06:27:42,2.7,3,236677,593757,Groningen
36,t-Zandt',19/07/1994,08:17:29,2,3,245238,599254,Groningen
37,Middelstum,30/07/1994,09:18:20,2.7,1,237625,596779,Groningen
38,Middelstum,30/07/1994,09:53:29,1.3,1,234203,598280,Groningen
39,Warffum,07/09/1994,22:06:04,1.4,3,234002,602395,Groningen
40,Schildwolde,26/10/1994,21:41:01,1.2,3,245102,585225,Groningen
41,Steendam,13/12/1994,21:50:46,1,3,250228,589332,Groningen
42,Amsweer,24/01/1995,09:38:39,1.3,3,255618,593227,Groningen
43,Doekegat,21/03/1995,16:37:44,1.1,3,256396,606825,Groningen
