Fault,Easting,Northing,ZTopLeft,ThicknessLeft1,ThicknessLeft2,ZTopRight,ThicknessRight1,ThicknessRight2,DipAzimuth,Dip,
mFS10_Fault_1,243868,595324,-2847.86,83.8824,167.6961,-2878.65,83.8058,167.5461,20.2832,72.3608,
mFS10_Fault_1,243914,595310,-2851.55,83.8745,167.6827,-2885.64,83.7987,167.534,19.1371,72.9092,
mFS10_Fault_1,243962,595295,-2855.1,83.8651,167.6664,-2887.7,83.7916,167.5218,16.6568,73.8123,
mFS10_Fault_1,244010,595282,-2862.91,83.8517,167.6431,-2886.45,83.7826,167.507,14.2768,75.1442,
mFS10_Fault_1,244060,595270,-2871.17,83.8358,167.6156,-2884.09,83.7714,167.4887,13.4064,76.6117,
mFS10_Fault_1,244110,595258,-2875.17,83.8195,167.589,-2882.71,83.7582,167.4679,14.2585,78.037,
mFS10_Fault_1,244160,595245,-2876.59,83.8038,167.5639,-2883.15,83.7445,167.4461,16.806,79.2503,
mFS10_Fault_1,244208,595228,-2876.61,83.7894,167.5412,-2884.81,83.7314,167.4256,20.4694,80.2041,
mFS10_Fault_1,244255,595209,-2875.15,83.7775,167.5217,-2886.45,83.7202,167.4077,25.0737,80.6691,
mFS10_Fault_1,244301,595185,-2871.88,83.7683,167.5058,-2887.21,83.7117,167.3927,29.1861,80.7474,
mFS10_Fault_1,244344,595159,-2866.91,83.7615,167.4925,-2887.21,83.705,167.3797,32.3422,80.4614,
mFS10_Fault_1,244386,595131,-2861.16,83.756,167.4797,-2887.16,83.6992,167.3664,34.143,80.0444,
mFS10_Fault_1,244428,595101,-2856.14,83.75,167.4656,-2887.44,83.6929,167.3516,35.2529,79.6365,
mFS10_Fault_1,244469,595071,-2853.09,83.7427,167.4487,-2887.56,83.6855,167.3345,36.1106,79.2886,
mFS10_Fault_1,244510,595040,-2851.43,83.7339,167.4287,-2886.89,83.6771,167.3151,36.9013,78.9408,
mFS10_Fault_1,244551,595009,-2849.5,83.7241,167.406,-2885.24,83.6675,167.293,37.4588,78.543,
mFS10_Fault_1,244592,594978,-2847.92,83.7127,167.3795,-2882.82,83.6566,167.2676,37.5753,78.0772,
mFS10_Fault_1,244633,594946,-2848.65,83.699,167.3477,-2880.66,83.6438,167.2379,37.2386,77.5324,
mFS10_Fault_1,244674,594916,-2852.22,83.6821,167.3091,-2879.73,83.6285,167.2025,36.486,76.9516,
mFS10_Fault_1,244715,594886,-2856.69,83.6619,167.2638,-2879.35,83.6101,167.161,35.3998,76.4264,
mFS10_Fault_1,244757,594857,-2857.67,83.6394,167.2141,-2878.56,83.5887,167.1137,34.1412,75.9977,
mFS10_Fault_1,244799,594829,-2853.27,83.6152,167.1613,-2877.83,83.5639,167.0597,32.7095,75.6636,
mFS10_Fault_1,244842,594802,-2846.75,83.588,167.1027,-2878.66,83.5348,166.9973,30.9097,75.4991,
mFS10_Fault_1,244886,594776,-2841.81,83.5557,167.0353,-2882.67,83.5001,166.9249,29.0462,75.5583,
mFS10_Fault_1,244931,594752,-2839.43,83.5177,166.9579,-2889.53,83.4597,166.8426,27.574,75.84,
mFS10_Fault_1,244977,594729,-2838.81,83.4747,166.8717,-2896.14,83.4153,166.7535,26.7358,76.3109,
mFS10_Fault_1,245024,594706,-2838.93,83.4275,166.7784,-2898.35,83.369,166.662,26.426,76.9246,
mFS10_Fault_1,245070,594683,-2839.02,83.3772,166.6796,-2895.87,83.3215,166.5686,26.2181,77.672,
mFS10_Fault_1,245115,594660,-2838.98,83.3242,166.5756,-2892.47,83.2717,166.4708,25.9316,78.5178,
mFS10_Fault_1,245161,594638,-2839.03,83.2686,166.4665,-2890.05,83.2189,166.3672,25.7335,79.3582,
mFS10_Fault_1,245206,594616,-2839.03,83.2106,166.3523,-2888.33,83.1636,166.2581,25.9432,80.0688,
mFS10_Fault_1,245252,594593,-2838.95,83.1508,166.2341,-2887.29,83.1059,166.144,26.8197,80.5819,
mFS10_Fault_1,245297,594569,-2839.05,83.0895,166.1124,-2887.07,83.0463,166.0259,28.247,80.9233,
mFS10_Fault_1,245342,594545,-2839.28,83.0269,165.9878,-2887.64,82.9852,165.9042,29.6018,81.1964,
mFS10_Fault_1,245386,594519,-2839.43,82.9625,165.8594,-2888.54,82.9222,165.7783,30.0638,81.5224,
mFS10_Fault_1,245431,594494,-2839.42,82.8954,165.7254,-2889.08,82.8566,165.647,29.1926,81.9421,
mFS10_Fault_1,245476,594470,-2839.09,82.8248,165.5841,-2888.61,82.7875,165.5089,27.3863,82.3729,
mFS10_Fault_1,245522,594447,-2838.33,82.7505,165.4353,-2886.95,82.7151,165.3636,25.6405,82.7057,
mFS10_Fault_1,245567,594425,-2837.01,82.6733,165.2802,-2884.09,82.64,165.2125,24.8066,82.8992,
mFS10_Fault_1,245613,594403,-2835.54,82.5935,165.1201,-2880.36,82.5624,165.0567,24.919,82.9879,
mFS10_Fault_1,245659,594381,-2835.24,82.5112,164.955,-2876.57,82.4828,164.897,25.4675,83.0132,
mFS10_Fault_1,245705,594359,-2837.61,82.426,164.7844,-2873.75,82.401,164.7331,25.8394,83.025,
mFS10_Fault_1,245752,594337,-2844.04,82.3374,164.6069,-2873.25,82.3164,164.5636,25.7119,83.0551,
mFS10_Fault_1,245799,594316,-2856.2,82.2446,164.4218,-2876.69,82.2282,164.3875,25.3724,83.0704,
mFS10_Fault_1,245846,594295,-2875.24,82.1476,164.2295,-2884.94,82.1365,164.2057,25.3258,83.0422,
mFS10_Fault_19,243553,593193,-2820.76,86.794,173.5269,-2834.19,86.6703,173.2727,22.6699,74.8572,
mFS10_Fault_19,243600,593170,-2818.91,86.743,173.4214,-2836.89,86.6204,173.1702,30.5707,75.0941,
mFS10_Fault_19,243645,593140,-2815.08,86.6965,173.3318,-2837.15,86.5759,173.0852,34.3865,75.8422,
mFS10_Fault_19,243688,593110,-2811.03,86.6472,173.2447,-2835.86,86.5302,173.005,33.3568,76.8996,
mFS10_Fault_19,243733,593083,-2807.86,86.5892,173.1427,-2833.7,86.477,172.9126,27.9095,77.983,
mFS10_Fault_19,243780,593060,-2805.36,86.5208,173.018,-2831.39,86.4136,172.7977,21.7621,78.9675,
mFS10_Fault_19,243830,593043,-2803.05,86.4432,172.8714,-2829.97,86.3405,172.6603,16.0408,79.7995,
mFS10_Fault_19,243881,593030,-2801.32,86.3579,172.7072,-2830.47,86.2593,172.504,11.5224,80.597,
mFS10_Fault_19,243932,593021,-2800.83,86.2679,172.5314,-2833.01,86.173,172.3355,9.16589,81.2288,
mFS10_Fault_19,243984,593013,-2802.24,86.1768,172.3508,-2836.5,86.0855,172.1623,10.3185,81.3519,
mFS10_Fault_19,244035,593002,-2805.95,86.0867,172.1718,-2839.22,85.9998,171.9919,14.4713,81.3514,
mFS10_Fault_19,244086,592988,-2811.04,85.9969,171.9956,-2839.63,85.9153,171.8258,16.4928,81.801,
mFS10_Fault_19,244137,592974,-2815.5,85.9063,171.8186,-2836.95,85.8303,171.6596,15.874,82.5707,
mFS10_Fault_19,244187,592959,-2818.09,85.8148,171.6395,-2831.77,85.7442,171.4913,16.2573,83.2423,
mFS10_Fault_19,244237,592944,-2818.72,85.7233,171.4608,-2825.69,85.6574,171.3219,17.4266,83.7306,
mFS10_Fault_48,238858,586740,-2701.13,112.143,225.541,-2719.45,112.945,227.085,230.172,88.5769,
mFS10_Fault_48,238897,586695,-2692.53,111.248,223.786,-2711.67,112.061,225.348,229.83,88.812,
mFS10_Fault_48,238935,586650,-2688.01,110.349,221.997,-2705.73,111.164,223.566,228.762,89.2348,
mFS10_Fault_48,238975,586606,-2685.89,109.444,220.171,-2701.79,110.261,221.75,227.225,89.7713,
mFS10_Fault_48,239015,586564,-2685.34,108.53,218.327,-2700.17,109.352,219.921,45.3056,89.6325,
mFS10_Fault_48,239056,586524,-2685.94,107.605,216.462,-2701.07,108.438,218.084,43.1148,89.0054,
mFS10_Fault_48,239099,586486,-2687.25,106.67,214.576,-2704.4,107.519,216.234,41.1041,88.4452,
mFS10_Fault_48,239142,586449,-2688.68,105.724,212.663,-2709.9,106.595,214.374,39.6316,88.0155,
mFS10_Fault_48,239187,586413,-2689.8,104.767,210.727,-2715.34,105.66,212.489,37.6305,87.478,
mFS10_Fault_48,239233,586379,-2690.64,103.803,208.777,-2718.89,104.71,210.572,35.6137,86.9545,
mFS10_Fault_48,239280,586346,-2691.21,102.834,206.815,-2721.36,103.75,208.631,34.492,86.6118,
mFS10_Fault_48,239328,586315,-2691.32,101.86,204.841,-2723.86,102.784,206.676,33.1675,86.1991,
mFS10_Fault_48,239376,586284,-2690.94,100.883,202.859,-2726.5,101.815,204.714,31.6872,85.7156,
mFS10_Fault_48,239426,586254,-2690.36,99.904,200.872,-2728.22,100.841,202.738,30.8024,85.3347,
mFS10_Fault_48,239475,586224,-2689.89,98.9215,198.8764,-2727.82,99.8546,200.736,30.8108,85.112,
mFS10_Fault_48,239525,586193,-2689.73,97.9332,196.8672,-2724.73,98.8509,198.6973,31.3406,84.9105,
mFS10_Fault_48,239575,586162,-2689.75,96.9393,194.8457,-2719.7,97.8337,196.6311,31.7293,84.6093,
mFS10_Fault_48,239624,586131,-2689.8,95.9421,192.8164,-2714.04,96.8095,194.5499,32.3275,84.3077,
mFS10_Fault_48,239673,586099,-2689.71,94.9415,190.7808,-2708.54,95.7803,192.4596,33.5287,84.0825,
mFS10_Fault_48,239721,586066,-2689.22,93.9368,188.7369,-2703.59,94.7471,190.3605,35.3106,83.9347,
mFS10_Fault_48,239767,586031,-2688.15,92.9297,186.6864,-2699.48,93.7118,188.256,37.4035,83.7902,
mFS10_Fault_48,239813,585995,-2686.5,91.9229,184.6372,-2696.48,92.6773,186.1549,39.1448,83.5024,
mFS10_Fault_48,239857,585957,-2684.47,90.9207,182.5993,-2694.77,91.6485,184.0653,40.7351,83.1352,
mFS10_Fault_48,239900,585918,-2682.29,89.9285,180.5791,-2694.43,90.6303,181.993,42.6075,82.84,
mFS10_Fault_48,239942,585879,-2680.02,88.9515,178.5842,-2695.45,89.6276,179.9488,44.0107,82.5056,
mFS10_Fault_48,239983,585838,-2677.45,87.9927,176.6248,-2697.39,88.6447,177.9432,45.2352,82.1738,
mFS10_Fault_48,240023,585796,-2674.43,87.0565,174.7069,-2699.57,87.6847,175.9807,46.718,81.9506,
mFS10_Fault_48,240062,585753,-2671.16,86.1478,172.8412,-2701.4,86.7509,174.0665,47.9211,81.7355,
mFS10_Fault_48,240100,585710,-2667.92,85.2713,171.0411,-2702.59,85.8471,172.211,48.5487,81.4606,
mFS10_Fault_48,240138,585666,-2664.97,84.4333,169.3157,-2703.16,84.9789,170.4248,48.7281,81.1688,
mFS10_Fault_48,240176,585622,-2662.49,83.6345,167.6709,-2703.25,84.148,168.7154,48.7006,80.9287,
mFS10_Fault_48,240214,585578,-2660.44,82.8755,166.1103,-2702.89,83.3557,167.0888,48.5227,80.7426,
mFS10_Fault_48,240253,585535,-2658.84,82.1604,164.6389,-2702.19,82.6061,165.5499,47.9072,80.5177,
mFS10_Fault_48,240292,585492,-2657.67,81.4916,163.2654,-2701.5,81.903,164.1072,46.4514,80.1652,
mFS10_Fault_48,240333,585450,-2656.79,80.8723,161.9953,-2701.2,81.2508,162.7704,44.3218,79.7648,
mFS10_Fault_48,240375,585410,-2655.99,80.3043,160.8297,-2701.39,80.653,161.5424,42.332,79.5375,
mFS10_Fault_48,240418,585372,-2655.14,79.7889,159.7713,-2701.84,80.1094,160.4259,40.1354,79.3404,
mFS10_Fault_48,240464,585336,-2654.16,79.3269,158.8243,-2702.06,79.6214,159.4277,36.0801,78.8425,
mFS10_Fault_48,240512,585304,-2653.17,78.9203,157.9955,-2701.61,79.1923,158.5528,31.3534,78.5708,
mFS10_Fault_48,240562,585275,-2652.53,78.571,157.2811,-2700.07,78.8237,157.7979,27.6094,78.7806,
mFS10_Fault_48,240614,585250,-2652.71,78.2764,156.6806,-2697.31,78.5124,157.1636,23.4097,79.0778,
mFS10_Fault_48,240669,585229,-2654.08,78.0358,156.1953,-2693.78,78.2578,156.6493,18.6218,79.469,
mFS10_Fault_48,240724,585212,-2656.74,77.8514,155.8201,-2690.18,78.0628,156.2522,13.8289,80.0949,
mFS10_Fault_48,240781,585201,-2660.39,77.7192,155.553,-2686.98,77.9235,155.9715,9.6461,80.913,
mFS10_Fault_48,240838,585193,-2664.37,77.6337,155.385,-2684.43,77.8348,155.7983,5.73839,81.8523,
mFS10_Fault_48,240896,585189,-2668.04,77.5901,155.3048,-2682.84,77.7925,155.7199,2.13528,82.7957,
mFS10_Fault_48,240955,585188,-2671.05,77.5831,155.2955,-2682.54,77.7899,155.7167,359.03,83.6262,
mFS10_Fault_48,241013,585191,-2673.4,77.5994,155.3243,-2683.69,77.8101,155.747,356.219,84.3794,
mFS10_Fault_48,241071,585196,-2675.5,77.6195,155.3533,-2686.35,77.8287,155.7691,353.809,85.0877,
mFS10_Fault_48,241129,585204,-2678.1,77.6365,155.3788,-2690.55,77.8416,155.7881,351.986,85.6791,
mFS10_Fault_48,241187,585213,-2682.05,77.6589,155.4234,-2696.38,77.8622,155.8309,350.534,86.1298,
mFS10_Fault_48,241245,585224,-2688.08,77.6947,155.5012,-2704.06,77.8972,155.908,349.171,86.4524,
mFS10_Fault_48,241303,585236,-2696.98,77.7469,155.6163,-2713.71,77.9478,156.0205,348.333,86.5882,
mFS10_Fault_48,241361,585250,-2709.41,77.8155,155.7675,-2724.98,78.0137,156.1654,347.776,86.6362,
mFS10_Fault_48,241419,585263,-2724.94,77.8973,155.9477,-2736.42,78.0909,156.3325,347.517,86.5754,
mFS10_Fault_67,241468,588458,-3127.34,99.0046,198.2353,-3091.13,98.5503,197.3091,285.339,85.1615,
mFS10_Fault_67,241480,588501,-3118.19,99.0195,198.289,-3057.78,98.5521,197.3357,282.343,84.2756,
mFS10_Fault_67,241492,588547,-3099.42,99.0428,198.3544,-3026.2,98.5696,197.3889,279.045,83.5132,
mFS10_Fault_67,241503,588596,-3071.61,99.076,198.4283,-2993.21,98.6045,197.4658,276.745,83.1848,
mFS10_Fault_67,241514,588645,-3035.04,99.1053,198.4882,-2958.7,98.643,197.5446,277.121,83.3228,
mFS10_Fault_67,241524,588693,-2995.25,99.1245,198.5276,-2927.38,98.6774,197.6148,277.95,83.5184,
mFS10_Fault_67,241533,588741,-2958.67,99.1483,198.5788,-2901.63,98.7173,197.6988,275.085,83.2358,
mFS10_Fault_67,241537,588789,-2929,99.1981,198.6883,-2881.32,98.7798,197.8339,268.91,82.5324,
mFS10_Fault_67,241537,588835,-2907.87,99.2806,198.8721,-2867,98.87,198.0337,264.054,81.8253,
mFS10_Fault_67,241533,588881,-2893.33,99.3936,199.1195,-2858.2,98.9889,198.2934,259.073,81.102,
mFS10_Fault_67,241523,588926,-2883.32,99.5392,199.4231,-2853.52,99.141,198.6105,254.262,80.7156,
mFS10_Fault_67,241510,588969,-2876.28,99.7144,199.7741,-2851.57,99.3236,198.977,250.148,80.7806,
mFS10_Fault_67,241494,589010,-2871.21,99.915,200.166,-2851.27,99.5324,199.3849,245.975,81.2576,
mFS10_Fault_67,241474,589051,-2867.45,100.137,200.594,-2851.85,99.7626,199.8283,241.617,82.066,
mFS10_Fault_67,241453,589090,-2864.58,100.366,201.037,-2852.8,99.9981,200.286,240.945,82.8231,
mFS10_Fault_67,241432,589130,-2862.22,100.58,201.46,-2853.72,100.219,200.723,243.396,83.2039,
mFS10_Fault_67,241413,589168,-2860.03,100.768,201.834,-2854.24,100.41,201.107,242.951,83.6926,
mFS11_Fault_100,256773,586174,-2741.24,67.7755,135.3674,-2744.29,67.7399,135.2969,53.5853,72.0575,
mFS11_Fault_100,256730,586234,-2743.26,67.9169,135.6527,-2748.44,67.8721,135.5639,53.3906,72.9143,
mFS11_Fault_100,256688,586292,-2744.9,68.0497,135.9199,-2752.58,67.9952,135.8123,53.4194,73.7118,
mFS11_Fault_100,256646,586351,-2746.19,68.17,136.1646,-2756.66,68.1074,136.0406,54.2568,74.2698,
mFS11_Fault_100,256606,586411,-2747.26,68.2734,136.3784,-2760.72,68.2047,136.2415,56.2049,74.501,
mFS11_Fault_100,256568,586472,-2748.23,68.3551,136.5516,-2765.04,68.2828,136.4063,58.7071,74.5361,
mFS11_Fault_100,256533,586535,-2749.35,68.4106,136.674,-2770.12,68.3374,136.5255,61.9122,74.3697,
mFS11_Fault_100,256503,586601,-2750.77,68.4367,136.7377,-2776.59,68.365,136.5913,67.3141,74.0064,
mFS11_Fault_100,256480,586669,-2752.56,68.4341,136.7452,-2784.81,68.366,136.6052,72.7469,73.8149,
mFS11_Fault_100,256463,586739,-2754.72,68.4076,136.7028,-2794.83,68.3438,136.5713,78.1819,73.5892,
mFS11_Fault_100,256454,586811,-2757.4,68.3618,136.6203,-2805.89,68.3032,136.4995,83.2173,73.4692,
mFS11_Fault_100,256450,586883,-2760.75,68.3026,136.5116,-2816.35,68.2507,136.4041,88.009,73.505,
mFS11_Fault_100,256451,586955,-2764.81,68.2375,136.3901,-2824.6,68.193,136.2977,89.9807,73.5113,
mFS11_Fault_100,256452,587027,-2769.48,68.1721,136.269,-2829.83,68.1359,136.1933,90.0275,73.6071,
mFS11_Fault_100,256456,587099,-2774.45,68.1098,136.1551,-2832.16,68.0822,136.0966,94.2208,74.4624,
mFS11_Fault_100,256466,587170,-2779.08,68.054,136.0539,-2832.26,68.0342,136.0108,99.975,75.6281,
mFS11_Fault_100,256480,587241,-2782.72,68.0092,135.9741,-2830.99,67.9962,135.9437,103.322,76.0892,
mFS11_Fault_100,256499,587311,-2784.97,67.9782,135.9205,-2829.1,67.9706,135.9005,106.174,76.0669,
mFS11_Fault_100,256519,587380,-2785.86,67.9613,135.8957,-2826.97,67.9581,135.8833,107.044,75.3743,
mFS11_Fault_100,256539,587449,-2785.94,67.9599,135.9025,-2824.84,67.9601,135.8953,106.271,74.19,
mFS11_Fault_100,256558,587518,-2785.96,67.9741,135.9397,-2822.99,67.977,135.936,104.429,72.8121,
mFS11_Fault_100,256575,587588,-2786.64,68.0021,136.0054,-2821.69,68.007,136.0037,101.783,71.487,
mFS11_Fault_100,256588,587659,-2788.54,68.0432,136.0969,-2821.06,68.0497,136.0966,98.9738,70.3545,
mFS11_Fault_100,256598,587731,-2791.74,68.0954,136.2092,-2821.13,68.1033,136.2096,96.4169,69.4367,
mFS11_Fault_100,256606,587803,-2795.77,68.1555,136.3367,-2821.83,68.1641,136.337,94.0085,68.7597,
mFS11_Fault_100,256611,587875,-2799.81,68.2196,136.4706,-2823.24,68.2286,136.4711,92.2999,68.3582,
mFS11_Fault_100,256614,587948,-2803.2,68.284,136.6029,-2825.4,68.2932,136.6032,91.1837,68.1959,
mFS11_Fault_100,256617,588020,-2805.6,68.3457,136.7282,-2828.15,68.3547,136.7272,90.92,68.2256,
mFS11_Fault_100,256619,588092,-2807.09,68.4033,136.8435,-2831.15,68.4115,136.8407,91.7145,68.3682,
mFS11_Fault_100,256623,588164,-2807.9,68.4563,136.9483,-2833.99,68.4631,136.9437,93.1294,68.5438,
mFS11_Fault_100,256628,588236,-2808.3,68.5042,137.042,-2836.21,68.5096,137.0359,94.5503,68.6102,
mFS11_Fault_100,256635,588308,-2808.61,68.5461,137.1226,-2837.54,68.55,137.1146,95.7608,68.4848,
mFS11_Fault_100,256644,588380,-2809.01,68.5805,137.1861,-2837.95,68.5824,137.1756,97.1954,68.283,
mFS11_Fault_100,256654,588451,-2809.58,68.6064,137.2295,-2837.63,68.6055,137.2143,98.6712,68.0006,
mFS11_Fault_100,256665,588522,-2810.33,68.6235,137.2531,-2836.79,68.6183,137.2299,99.795,67.6247,
mFS11_Fault_100,256678,588593,-2811.3,68.6326,137.2597,-2835.59,68.6223,137.2266,100.636,67.182,
mFS11_Fault_100,256692,588664,-2812.55,68.6362,137.2544,-2834.2,68.6202,137.2096,101.466,66.7362,
mFS11_Fault_100,256707,588735,-2814.03,68.6365,137.2438,-2832.75,68.6149,137.1871,102.2,66.372,
mFS11_Fault_100,256722,588805,-2815.63,68.6367,137.2356,-2831.3,68.6097,137.1688,102.057,65.9889,
mFS11_Fault_100,256736,588876,-2817.11,68.6404,137.2376,-2829.84,68.609,137.1629,101.189,65.6469,
mFS11_Fault_100,256750,588948,-2818.27,68.6497,137.2561,-2828.32,68.6151,137.1756,100.454,65.5375,
mFS11_Fault_100,256763,589019,-2818.95,68.6667,137.2935,-2826.75,68.6298,137.2095,100.194,65.7378,
mFS11_Fault_100,256775,589091,-2819.05,68.6917,137.3505,-2825.21,68.6535,137.2646,100.249,66.2128,
mFS11_Fault_100,256788,589162,-2818.6,68.7244,137.426,-2823.61,68.6854,137.3397,100.365,66.8926,
mFS11_Fault_100,256800,589233,-2817.62,68.765,137.5178,-2821.8,68.7255,137.4319,100.462,67.7239,
